Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Tuesday,18-30,Male,Elementary school,2-5yr,Lorry (41?100Q),8.0,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,9
Tuesday,31-50,Male,Junior high school,1-2yr,Lorry (41?100Q),0.0,Residential areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,2,Not a Pedestrian,Driving carelessly,Slight Injury,9
Monday,31-50,Male,Elementary school,1-2yr,Motorcycle,2.0,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,12
Monday,18-30,Male,High school,No Licence,Lorry (41?100Q),5.0,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,12
Monday,18-30,Male,Junior high school,5-10yr,Ridden horse,0.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,12
Tuesday,18-30,Male,Junior high school,1-2yr,Automobile,5.0,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Serious Injury,8
Monday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),0.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,No priority to vehicle,Slight Injury,10
Monday,18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,0.0, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,10
Saturday,31-50,Male,Junior high school,5-10yr,Public (> 45 seats),13.0,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Turnover,Slight Injury,18
Saturday,31-50,Male,Junior high school,5-10yr,Stationwagen,8.0, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Pedestrian,Female,Under 18,3,Not a Pedestrian,Driving to the left,Slight Injury,18
Wednesday,31-50,Male,Junior high school,2-5yr,Automobile,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,7
Wednesday,18-30,Male,Junior high school,Above 10yr,Public (12 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving to the left,Slight Injury,7
Tuesday,31-50,Male,Junior high school,Above 10yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,7
Tuesday,31-50,Male,Junior high school,5-10yr,Automobile,5.0,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Male,Under 18,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,7
Monday,31-50,Male,Elementary school,Above 10yr,Automobile,5.0,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,10
Monday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Unknown,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,14
Wednesday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,18
Wednesday,18-30,Male,Junior high school,Above 10yr,Automobile,1.0,Other,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,18
Wednesday,18-30,Male,High school,Above 10yr,Public (12 seats),8.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Wednesday,Over 51,Male,Junior high school,5-10yr,Taxi,8.0,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,1,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury,8
Monday,31-50,Male,Elementary school,5-10yr,Automobile,5.0,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,8
Monday,18-30,Male,Elementary school,Above 10yr,Public (12 seats),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,8
Monday,18-30,Male,Junior high school,Below 1yr,Stationwagen,5.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,13
Monday,31-50,Male,Junior high school,2-5yr,Stationwagen,8.0,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,13
Wednesday,31-50,Male,Junior high school,2-5yr,Automobile,5.0, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,8
Wednesday,31-50,Male,High school,5-10yr,Lorry (41?100Q),0.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Overtaking,Slight Injury,8
Sunday,18-30,Male,Junior high school,5-10yr,Automobile,13.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,13
Sunday,18-30,Male,Junior high school,Below 1yr,Public (12 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,13
Tuesday,18-30,Male,Elementary school,Above 10yr,Automobile,0.0, Industrial areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Other,Slight Injury,18
Friday,18-30,Male,Elementary school,Below 1yr,Automobile,2.0, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,1
Tuesday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Tuesday,31-50,Male,Junior high school,5-10yr,Automobile,13.0, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,8
Monday,31-50,Male,Junior high school,5-10yr,Motorcycle,0.0,Office areas,One way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,Other,Fatal injury,8
Monday,18-30,Male,Junior high school,1-2yr,Automobile,5.0, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving to the left,Fatal injury,8
Monday,18-30,Male,High school,5-10yr,Automobile,8.0, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,8
Monday,18-30,Male,Junior high school,5-10yr,Automobile,13.0,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Driver or rider,Female,18-30,2,Not a Pedestrian,No priority to vehicle,Slight Injury,8
Sunday,Under 18,Male,Junior high school,5-10yr,Automobile,5.0,Other,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,20
Sunday,31-50,Male,Junior high school,5-10yr,Public (> 45 seats),2.0,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Female,Over 51,3,Not a Pedestrian,Other,Slight Injury,20
Friday,31-50,Male,Junior high school,Above 10yr,Automobile,5.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Friday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Other,Double carriageway (median),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,17
Tuesday,31-50,Male,Junior high school,No Licence,Automobile,2.0,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Tuesday,18-30,Male,Above high school,Below 1yr,Other,0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Tuesday,18-30,Male,Elementary school,5-10yr,Stationwagen,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Monday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,T Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,17
Monday,18-30,Female,Junior high school,5-10yr,Taxi,8.0,Office areas,Undivided Two way,Tangent road with mountainous terrain and,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,17
Tuesday,18-30,Male,High school,5-10yr,Other,0.0,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Under 18,3,Not a Pedestrian,Moving Backward,Slight Injury,7
Tuesday,18-30,Female,Junior high school,5-10yr,Public (12 seats),8.0,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,7
Wednesday,18-30,Male,Junior high school,2-5yr,Automobile,0.0, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Moving Backward,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,18
Wednesday,18-30,Male,Writing & reading,5-10yr,Automobile,0.0, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,4,Moving Backward,Driver or rider,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,18
Wednesday,18-30,Male,Junior high school,Above 10yr,Public (13?45 seats),2.0,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,4,Moving Backward,na,na,na,na,Not a Pedestrian,Other,Slight Injury,18
Wednesday,18-30,Male,Junior high school,1-2yr,Lorry (41?100Q),0.0, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18
Wednesday,18-30,Male,Writing & reading,Below 1yr,Lorry (41?100Q),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,18
Friday,18-30,Male,Elementary school,1-2yr,Lorry (11?40Q),0.0,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Not a Pedestrian,Other,Slight Injury,0
Friday,31-50,Male,Junior high school,5-10yr,Motorcycle,0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,0
Monday,31-50,Male,Junior high school,1-2yr,Lorry (41?100Q),8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Other,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,8
Monday,18-30,Male,Elementary school,5-10yr,Stationwagen,8.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,1,Not a Pedestrian,No distancing,Slight Injury,8
Sunday,Over 51,Male,Junior high school,2-5yr,Automobile,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,7
Sunday,31-50,Male,Junior high school,Below 1yr,Other,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,No distancing,Slight Injury,7
Wednesday,31-50,Male,Writing & reading,5-10yr,Other,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Reversing,Pedestrian,Male,31-50,2,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury,16
Wednesday,18-30,Male,Writing & reading,5-10yr,Taxi,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,16
Wednesday,18-30,Male,Junior high school,5-10yr,Automobile,13.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,8
Wednesday,31-50,Female,Junior high school,2-5yr,Long lorry,0.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,8
Monday,31-50,Male,Junior high school,Above 10yr,Long lorry,0.0, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,na,na,na,na,Not a Pedestrian,Other,Serious Injury,9
Tuesday,18-30,Female,Junior high school,5-10yr,Lorry (41?100Q),5.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,18-30,3,Not a Pedestrian,No distancing,Serious Injury,23
Saturday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Passenger,Female,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,12
Saturday,18-30,Female,Junior high school,2-5yr,Lorry (11?40Q),8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,12
Tuesday,18-30,Male,Junior high school,Below 1yr,Automobile,5.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,2
Tuesday,18-30,Female,Junior high school,Below 1yr,Taxi,8.0, Church areas,other,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,2,Not a Pedestrian,No distancing,Slight Injury,2
Friday,18-30,Male,Junior high school,5-10yr,Other,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Serious Injury,18
Friday,18-30,Female,Junior high school,2-5yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Driving carelessly,Serious Injury,18
Tuesday,18-30,Male,Elementary school,Below 1yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,18
Tuesday,18-30,Male,Junior high school,2-5yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,18
Monday,18-30,Female,High school,Above 10yr,Lorry (11?40Q),1.0, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Monday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,2,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Friday,18-30,Male,Elementary school,1-2yr,Lorry (41?100Q),0.0,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,13
Friday,31-50,Male,Elementary school,5-10yr,Stationwagen,0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,13
Thursday,31-50,Male,Junior high school,5-10yr,Other,0.0,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,7
Thursday,18-30,Male,Junior high school,1-2yr,Automobile,0.0, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,7
Tuesday,31-50,Male,Junior high school,5-10yr,Pick up upto 10Q,0.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,22
Tuesday,31-50,Male,High school,Above 10yr,Motorcycle,0.0,Office areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,22
Friday,18-30,Male,Junior high school,Below 1yr,Automobile,5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,9
Friday,18-30,Male,Writing & reading,5-10yr,Pick up upto 10Q,0.0, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,16
Sunday,18-30,Male,Above high school,Above 10yr,Motorcycle,13.0, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,3,Going straight,Pedestrian,Female,Over 51,2,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Turnover,Slight Injury,8
Sunday,18-30,Male,High school,Below 1yr,Stationwagen,0.0,  Recreational areas,One way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,8
Sunday,18-30,Male,Junior high school,1-2yr,Lorry (41?100Q),0.0,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,3,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,8
Monday,18-30,Male,Junior high school,Above 10yr,Taxi,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,18
Thursday,31-50,Male,Junior high school,Above 10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Serious Injury,19
Monday,18-30,Male,Junior high school,No Licence,Automobile,5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,8
Monday,18-30,Female,Junior high school,1-2yr,Public (12 seats),0.0,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Overtaking,Slight Injury,8
Friday,18-30,Female,Junior high school,Below 1yr,Pick up upto 10Q,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,11
Thursday,31-50,Male,Junior high school,1-2yr,Lorry (41?100Q),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Not a Pedestrian,Overtaking,Slight Injury,11
